payment_id,vendor_id,vendor_name,invoice_number,amount,bank_routing,authorizer,due_date,invoice_date,early_pay_discount,early_pay_deadline
PAY-001,V001,Acme Logistics Ltd,INV-90001,36700.0,BNK-CHASE-001,CFO-JAMES-WALKER,2026-06-01,2026-05-01,None,N/A
PAY-002,V005,Pinnacle Freight Co,INV-90002,3200.0,BNK-CHASE-005,CFO-JAMES-WALKER,2026-06-05,2026-05-05,None,N/A
PAY-003,V008,Aurora Consulting Group,INV-90003,7800.0,BNK-CITI-008,DIR-SARA-PATEL,2026-05-28,2026-05-13,None,N/A
PAY-004,V010,Delta Mechanical Works,INV-90004,4500.0,BNK-CHASE-010,DIR-SARA-PATEL,2026-06-10,2026-05-10,None,N/A
PAY-005,V002,Vortex Energy Inc,INV-90005,8200.0,BNK-WELLS-002,,2026-06-08,2026-05-08,None,N/A
PAY-006,V006,Orion Cloud Services,INV-90006,5600.0,BNK-USB-006,CFO-JAMES-WALKER,2026-06-03,2026-05-03,None,N/A
PAY-007,V011,Ember Digital Agency,INV-90007,2300.0,BNK-USB-011,DIR-SARA-PATEL,2026-05-30,2026-05-15,None,N/A
PAY-008,V015,Ignite Marketing LLC,INV-90008,6750.0,BNK-CHASE-015,CFO-JAMES-WALKER,2026-06-12,2026-05-12,None,N/A
PAY-009,V020,Nova Research Labs,INV-90009,4100.0,BNK-CHASE-020,DIR-SARA-PATEL,2026-06-07,2026-05-07,None,N/A
PAY-010,V025,Solaris Energy Partners,INV-90010,6200.0,BNK-CHASE-025,CFO-JAMES-WALKER,2026-06-15,2026-05-15,None,N/A
PAY-011,V030,Xcel Building Materials,INV-90011,3800.0,BNK-CHASE-030,DIR-SARA-PATEL,2026-06-02,2026-05-02,None,N/A
PAY-012,V035,Cedar IT Infrastructure,INV-90012,7250.0,BNK-CHASE-035,CFO-JAMES-WALKER,2026-06-09,2026-05-09,None,N/A
PAY-013,V003,Nexus Software Corp,INV-88219,7200.0,BNK-CITI-003,DIR-SARA-PATEL,2026-06-04,2026-04-18,None,N/A
PAY-014,V040,Harbor Marine Services,INV-90014,4200.0,BNK-CHASE-040,CFO-JAMES-WALKER,2026-06-11,2026-05-11,None,N/A
PAY-015,V045,Maple Foods Distribution,INV-90015,6300.0,BNK-CHASE-045,DIR-SARA-PATEL,2026-05-29,2026-05-14,None,N/A
PAY-016,V007,Titan Manufacturing LLC,INV-90016,5900.0,BNK-WELLS-007,CFO-JAMES-WALKER,2026-06-06,2026-05-06,None,N/A
PAY-017,V013,Galaxy Telecom Ltd,INV-90017,2750.0,BNK-CITI-013,DIR-SARA-PATEL,2026-06-13,2026-05-13,None,N/A
PAY-018,V018,Luminary Design Studio,INV-90018,5100.0,BNK-CITI-018,CFO-JAMES-WALKER,2026-06-16,2026-05-16,None,N/A
PAY-019,V004,Globex Global Corp,INV-90019,3100.0,BNK-BOA-004,DIR-SARA-PATEL,2026-06-18,2026-04-28,2%,2026-05-12
PAY-020,V022,Paragon Printing Inc,INV-90020,4400.0,BNK-WELLS-022,CFO-JAMES-WALKER,2026-06-14,2026-05-14,None,N/A
PAY-021,V028,Vertex Tech Solutions,INV-90021,4600.0,BNK-CITI-028,DIR-SARA-PATEL,2026-06-17,2026-05-17,None,N/A
PAY-022,V033,Atlas Catering Services,INV-90022,2900.0,BNK-CITI-033,CFO-JAMES-WALKER,2026-06-20,2026-04-30,1.5%,2026-05-14
PAY-023,V038,Falcon Data Centers,INV-90023,4800.0,BNK-CITI-038,DIR-SARA-PATEL,2026-06-08,2026-05-08,None,N/A
PAY-024,V999,Shadow Procurement LLC,INV-90024,5500.0,BNK-UNKNOWN-999,,2026-06-05,2026-05-05,None,N/A
PAY-025,V043,Karma Textile Mills,INV-90025,3350.0,BNK-CITI-043,,2026-06-09,2026-05-09,None,N/A
PAY-026,V047,Obsidian Robotics Inc,INV-90026,6100.0,BNK-WELLS-047,CFO-JAMES-WALKER,2026-06-22,2026-05-22,None,N/A
PAY-027,V048,Pearl Event Management,INV-90027,5750.0,BNK-CITI-048,DIR-SARA-PATEL,2026-06-19,2026-05-19,None,N/A
PAY-028,V049,Quartz Audio Visual,INV-90028,4750.0,BNK-BOA-049,CFO-JAMES-WALKER,2026-06-21,2026-05-21,None,N/A
PAY-029,V050,Ruby HR Solutions,INV-90029,2600.0,BNK-CHASE-050,DIR-SARA-PATEL,2026-06-25,2026-04-25,2%,2026-05-09
PAY-030,V023,Quantum Analytics Corp,INV-90030,4300.0,BNK-CITI-023,CFO-JAMES-WALKER,2026-06-23,2026-05-23,None,N/A
